hotel,rank,price,hotel_star,address,extended_address,number_of_review,overall_star_of_review,keywords
Holiday Inn Express Manhattan Midtown West,#275 of 479 Hotels in New York City,195,3 Star Hotel,538 W 48th St,"New York City, NY 10036-1102","1,207 reviews",40,"['All reviews', ""hell's kitchen"", 'times square', 'hi express', 'new york', 'the breakfast area', 'west side', 'minute walk', 'free breakfast', 'the nearest subway station', 'yogurt', 'few blocks', 'hot breakfast', 'rooms are small', 'breakfast staff', 'hotel is located', 'each morning', 'would stay again']"
"The Standard, East Village",#161 of 479 Hotels in New York City,379,4 Star Hotel,25 Cooper Sq,"New York City, NY 10003-7107",768 reviews,45,"['All reviews', 'the penthouse', 'astor place', 'cooper square', 'corner king room', 'standard highline', 'new york', 'floor to ceiling windows', 'hip hotel', 'the high line', 'every staff member', 'the entire staff', 'lower east side', 'high floor', 'rooms are small', 'mini bar', 'loved this hotel', 'an upgrade']"
Holiday Inn Express Manhattan Times Square South,#233 of 479 Hotels in New York City,252,3 Star Hotel,60 West 36th Street & 6th Ave,"New York City, NY 10018-8039","1,283 reviews",45,"['All reviews', 'the empire state building', 'herald square', 'hi express', 'penn station', 'times square', 'great location', 'new york', 'free breakfast', 'the breakfast area', 'yogurt', 'hot breakfast', 'walking distance', 'around the corner', 'would stay here again', 'rooms are small', 'front desk staff', 'clean hotel']"
Hotel Indigo Lower East Side New York,#95 of 479 Hotels in New York City,270,4 Star Hotel,171 Ludlow Street,"New York City, NY 10002-1501",880 reviews,45,"['All reviews', 'rooftop bar', ""katz's deli"", 'floor lobby', 'purple bar', 'russ and daughters', 'freedom tower', 'new york', 'east village', 'bars and restaurants', 'nyc skyline', 'hotel guests', 'cool hotel', 'floor to ceiling windows', 'hotel bar', 'great neighborhood', 'the penthouse', 'brooklyn bridge']"
The Time New York,#86 of 479 Hotels in New York City,231,4 Star Hotel,224 W 49th St,"New York City, NY 10019-7405",772 reviews,45,"['All reviews', 'tv in the mirror', 'book of mormon', 'lobby ambassador', 'superior suite', 'times square', 'new york', 'serafina restaurant', 'free wine and cheese', 'the theater district', 'broadway show', 'perfect location', 'special thanks', 'around the corner', 'amazing hotel', 'boutique hotel', 'bottle of champagne', 'home away from home']"
Royalton Park Avenue,#158 of 479 Hotels in New York City,,4 Star Hotel,420 Park Avenue South,29th Street Main Entrance,"2,552 reviews",45,"['All reviews', 'rooftop pool', 'gansevoort hotel', 'exhale spa', 'grand deluxe room', 'new york', 'the empire state building', 'trendy hotel', 'hotel guests', 'amazing hotel', 'union square', 'mini bar', 'nyc hotel', 'by nyc standards', 'location was perfect', 'subway station', 'times square', 'concierge']"
The Gotham Hotel,#253 of 479 Hotels in New York City,,4 Star Hotel,16 E 46th St,Between Fifth Ave and Madison Ave,920 reviews,40,"['All reviews', 'skyline room', 'small balcony', 'balcony door', 'new york', 'times square', 'boutique hotel', 'grand central station', 'small hotel', 'great boutique', 'rain shower', 'the air conditioning', 'fifth avenue', 'higher floor', 'comfy bed', 'rockefeller center', 'junior suite', 'midtown manhattan']"
The Lucerne Hotel,#170 of 479 Hotels in New York City,242,4 Star Hotel,201 West 79th Street,"New York City, NY 10024-6200","2,539 reviews",45,"['All reviews', 'upper west side', 'museum of natural history', 'central park', 'amsterdam avenue', 'nice martin', 'new york', 'lincoln center', 'queen suite', 'attached restaurant', 'great neighborhood', 'subway line', 'two blocks', 'times square', 'wonderful hotel', 'coffee maker', 'business center', 'hudson river']"
The Roger,#142 of 479 Hotels in New York City,299,4 Star Hotel,131 Madison Ave,At 31st Street,"3,633 reviews",45,"['All reviews', 'new york', 'boutique hotel', 'terrace room', 'the empire state building', 'madison avenue', 'great boutique', 'wine hour', 'the penthouse', 'business trip', 'mini bar', 'enjoyed my stay', 'location was perfect', 'penn station', 'rooms are small', 'times square', 'central park', 'lobby']"
Conrad New York,#26 of 479 Hotels in New York City,325,5 Star Hotel,102 North End Avenue,"New York City, NY 10282-1238","3,728 reviews",45,"['All reviews', 'battery park', 'hudson river', 'brookfield place', 'shake shack', 'rooftop bar', 'blue smoke', 'statue of liberty', 'lower manhattan', 'goldman sachs', 'the financial district', 'new york', 'nespresso machine', 'chambers street', 'world trade center', 'freedom tower', 'bagel shop', 'huge shower']"
"The Bernic Hotel New York City, Tapestry Collection by Hilton",#57 of 479 Hotels in New York City,,4 Star Hotel,145 E 47th St,"New York City, NY 10017-2007",431 reviews,45,"['All reviews', 'nespresso machine', 'heated floors', 'apple tv', 'balcony room', 'david lopez', 'front desk', 'new york', 'boutique hotel', 'small balcony', 'grand central station', 'rooftop bar', 'the general manager', 'comfortable bed', 'the penthouse', 'great shower', 'great boutique', 'a great stay']"
Staybridge Suites Times Square - New York City,#195 of 479 Hotels in New York City,243,3 Star Hotel,340 West 40th Street,"New York City, NY 10018-1404","6,066 reviews",45,"['All reviews', 'port authority', 'parole office', 'times square', 'free laundry', 'new york', 'full size fridge', 'fridge freezer', 'stove top', 'bus station', 'small kitchen', 'never felt unsafe', 'the breakfast area', 'bagels', 'complimentary breakfast', 'lower floor', ""hell's kitchen"", 'few blocks']"
The Marlton Hotel,#157 of 479 Hotels in New York City,,4 Star Hotel,5 W 8th St,"New York City, NY 10011-9099",682 reviews,45,"['All reviews', 'washington square park', 'greenwich village', 'rooms are small', 'avocado toast', 'espresso bar', 'new york', 'cozy lobby', 'modern touches', 'charming hotel', 'free continental breakfast', 'lounge area', 'hotel guests', 'appointed rooms', 'queen room', 'bars and restaurants', 'mini bar', 'great shower']"
Cambria Hotel New York - Chelsea,#58 of 479 Hotels in New York City,215,3 Star Hotel,123 W 28th Street,"New York City, NY 10001-6120","1,096 reviews",45,"['All reviews', 'flower district', 'rooftop bar', 'penn station', 'new york', 'great hotel', 'huge tv', 'madison square garden', 'freedom tower', 'times square', 'two queen beds', 'fridge and microwave', 'walking distance', 'would definitely stay here again', 'few blocks', 'the room was nice', 'convenient location', 'the empire state building']"
The Westin New York Grand Central,#247 of 479 Hotels in New York City,409,4 Star Hotel,212 East 42nd Street,Between 2nd Ave and 3rd Ave,"4,068 reviews",40,"['All reviews', 'chrysler building', 'great location', 'new york', 'heavenly bed', 'times square', 'spg member', 'corner room', 'mini bar', 'good size', 'bryant park', 'late check', 'high floor', 'two blocks', 'housekeeping staff', 'street noise', 'two double beds', 'by nyc standards']"
Omni Berkshire Place,#116 of 479 Hotels in New York City,269,4 Star Hotel,21 E 52nd St,at Madison Ave,"4,370 reviews",45,"['All reviews', 'select guest', 'loyalty program', 'central park', 'great location', 'new york', 'rockefeller center', 'madison ave', ""patrick's cathedral"", 'times square', 'free wifi', 'each morning', 'concierge staff', 'turn down service', 'midtown location', 'wonderful hotel', 'by nyc standards', 'around the corner']"
